ts,open,high,low,close,vol
1732532400,98397.53,98626.44,98117.86,98278.93,722.37
1732536000,98278.93,98393.75,97942.78,97979.87,1501.59
1732539600,97979.87,98007.36,97311.68,97536.22,2184.91
1732543200,97536.22,97694.93,95343.47,95350.46,5582.62
1732546800,95350.46,96520.58,94589.29,96024.8,9039.04
1732550400,96024.8,96514.46,95712.99,95929.03,3639.75
1732554000,95929.03,95931.43,94828.24,95217.82,4963.64
1732557600,95217.82,95901.61,94862.33,95127.27,3455.92
1732561200,95127.27,95282.42,94453.07,94629.1,4111.66
1732564800,94629.1,95248.5,94448.39,94867.82,6903.82
1732568400,94867.82,95087.65,93554.79,93720.94,5343.31
1732572000,93720.94,94394.89,92592.66,94389.34,5109.68
1732575600,94389.34,94401.97,92823.58,93019.38,3962.69
1732579200,93019.38,94354.74,92746.96,93832.58,3714.88
1732582800,93832.58,94894.94,93816.76,94889.14,2485.25
1732586400,94889.14,94946.78,94445.69,94623.92,1439.34
1732590000,94623.92,94738.65,94276.21,94503.49,1162.74
1732593600,94503.49,94570.94,94090.03,94327.52,787.34
1732597200,94327.52,94705.34,94211.45,94676.2,543.74
1732600800,94676.2,95007.52,94493.41,94534.32,528.59
1732604400,94534.32,94544.99,93540.47,93792.08,952.13
1732608000,93792.08,93794.16,92316.1,93141,2992.22
1732611600,93141,93729.12,93074.07,93527.23,1860.61
1732615200,93527.23,93748.92,92164.75,92232.09,2318.59
1732618800,92232.09,92622.36,91408.71,92329.96,3193.05
1732622400,92329.96,92641.4,91776.99,92138.35,3949.36
1732626000,92138.35,92887.14,91897.37,92149.29,4008.34
1732629600,92149.29,93533.06,91690.72,93284.34,6577.56
1732633200,93284.34,93587.9,92342.79,92834.62,6779.46
1732636800,92834.62,94726.38,92709.12,94061.06,5094.53
1732640400,94061.06,94066.46,93443.83,93563.91,3347.32
1732644000,93563.91,93645.38,92008.13,92125.12,5518.92
1732647600,92125.12,92681.44,91575.37,91686.41,4968.46
1732651200,91686.41,92020.12,90730.54,90974.08,7753.88
1732654800,90974.08,91850.4,90771.17,91610.02,3620.24
1732658400,91610.02,92238.36,91472.16,91617.2,1781.27
1732662000,91617.2,91985.77,91368.4,91903.89,1709.96
1732665600,91903.89,92394.76,91757.22,91900.41,2383.99
1732669200,91900.41,92779.75,91791.09,92730.94,2050.05
1732672800,92730.94,93006.89,92277.03,92911.01,1934.62
1732676400,92911.01,92915.7,92483.58,92559.39,1091.95
1732680000,92559.39,93177.51,92485.92,92545.31,1033.39
1732683600,92545.31,92791.03,92338.43,92732.56,438.67
1732687200,92732.56,93380.9,92732.56,93053.94,802.26
1732690800,93053.94,93629.08,93006.49,93582.06,569.46
1732694400,93582.06,93593.88,93245.51,93432.17,631.43
1732698000,93432.17,93486.88,93112.11,93408.24,373.68
1732701600,93408.24,93889.13,93357.36,93836.67,663.55
1732705200,93836.67,93840.07,93334.98,93384.84,643.05
1732708800,93384.84,93513.56,92867.84,93501.95,1379.08
1732712400,93501.95,94285.49,93425.22,94285.48,1788.81
1732716000,94285.48,94945.87,94146.03,94902.2,3931.61
1732719600,94902.2,95942.59,94354.17,95647.68,5370.03
1732723200,95647.68,96433.25,95268.44,95779.95,4041.52
1732726800,95779.95,96399.41,95393.02,96356.87,2965.39
1732730400,96356.87,96648.73,96132.64,96226.04,2863.73
1732734000,96226.04,96774.5,96019.07,96771.65,2327.99
1732737600,96771.65,97373.56,96450.17,96622.66,5118.79
1732741200,96622.66,96732.47,96201.24,96409.7,2705.44
1732744800,96409.7,96642.14,96148.89,96158.88,1064.22
1732748400,96158.88,96283.83,95844.59,95957.51,1593.21
1732752000,95957.51,96672.28,95829.12,96655.13,1361.11
1732755600,96655.13,96655.13,96189.6,96376,1086.02
1732759200,96376,96542.21,95717.8,95786.11,1129.26
1732762800,95786.11,95872.17,94916.17,95563.92,1820.97
1732766400,95563.92,95904.84,95431.32,95822.36,486.72
1732770000,95822.36,95992.35,95437.82,95529.41,403.19
1732773600,95529.41,95752.47,95151.25,95542.81,616
1732777200,95542.81,95812.9,95281.85,95365.25,417.16
1732780800,95365.25,95663.19,95151.17,95487.71,521.81
1732784400,95487.71,95548.73,94991.53,95018.47,514.38
1732788000,95018.47,95184.24,94677.17,95003.78,835.18
1732791600,95003.78,95820.01,94816.83,95487.3,868.04
1732795200,95487.3,95694.45,95246.05,95524.18,1099.97
1732798800,95524.18,95810.55,95071.95,95756.35,1325.44
1732802400,95756.35,96249.56,95409.52,95418.21,2082.59
1732806000,95418.21,95537.48,94923.36,95026.46,2146.05
1732809600,95026.46,95325.13,94849.33,94995.64,1324.38
1732813200,94995.64,95263.7,94852.08,94889.02,1020.02
1732816800,94889.02,95337.96,94879.14,95312.81,756.11
1732820400,95312.81,95449.56,95048.85,95131.47,656.45
1732824000,95131.47,95144.84,94712.94,94830.21,958.17
1732827600,94830.21,95193.55,94819.05,95138.34,761.78
1732831200,95138.34,95669.46,95040.3,95669.46,718.22
1732834800,95669.46,96045.18,95545.44,95670.41,1305.47
1732838400,95670.41,95851.32,95391.39,95503.3,1291.63
1732842000,95503.3,95991.09,95435.77,95938.33,1023.71
1732845600,95938.33,96887.41,95934.71,96779.04,1948.92
1732849200,96779.04,96838.19,96461.7,96610.08,770.81
1732852800,96610.08,96651.9,96265.28,96292,410.3
1732856400,96292,96549.07,96192.43,96201.89,290.29
1732860000,96201.89,96403.97,96036.98,96280.3,395.6
1732863600,96280.3,96428.87,95622.57,95643.73,580.27
1732867200,95643.73,96015.03,95641.09,95993.12,590.67
1732870800,95993.12,96489.11,95894.47,96384.49,528.12
1732874400,96384.49,96889.24,96324.29,96889.2,742.68
1732878000,96889.2,97409.81,96585.27,97293.9,1045.24
1732881600,97293.9,97548.57,96936.18,96967.84,1848.59
1732885200,96967.84,97294.85,96803.8,97257.93,1274.94
1732888800,97257.93,98144.2,96957.46,98098.92,3930.73
1732892400,98098.92,98735.69,97807.17,98151.39,7010.46
1732896000,98151.39,98590.06,97850.08,97928.9,4336.29
1732899600,97928.9,97960.35,97029.23,97064.49,4073.28
1732903200,97064.49,97458.69,96944.92,97276.77,2105.28
1732906800,97276.77,97536.65,96981.38,97438.48,1494.7
1732910400,97438.48,97719.58,97303,97416.26,1656.33
1732914000,97416.26,97532.23,97087.7,97469.68,981.91
1732917600,97469.68,97563.86,97311.99,97375.25,706.15
1732921200,97375.25,97530.42,97175.21,97510.92,847.92
1732924800,97510.92,97514.26,96996.52,97018.13,1125.17
1732928400,97018.13,97018.17,96465.78,96467.42,1507.99
1732932000,96467.42,96735.46,96352.1,96638.07,948.03
1732935600,96638.07,96727.29,96438.87,96681.31,577.37
1732939200,96681.31,96774.13,96586.81,96736.27,297.17
1732942800,96736.27,97237.46,96736.26,97161.26,410.31
1732946400,97161.26,97279.04,96659.05,96692.05,917.43
1732950000,96692.05,96961.58,96615.67,96829.09,261.19
1732953600,96829.09,97010.97,96752.2,96986.75,219.11
1732957200,96986.75,96986.75,96650.78,96817.43,179.15
1732960800,96817.43,96845.16,96158.11,96183.17,410.43
1732964400,96183.17,96497.52,96137.13,96305.63,253.58
1732968000,96305.63,96603.2,96289.66,96599.93,367.88
1732971600,96599.93,96725.84,96459.16,96461.95,394.76
1732975200,96461.95,96764.86,96356.78,96504.5,523.46
1732978800,96504.5,96785.25,96457.16,96694.56,521.1
1732982400,96694.56,96997.72,96572.8,96925.53,541.93
1732986000,96925.53,97011.47,96821.82,96838.83,412.48
1732989600,96838.83,97060.22,96819.37,97008.28,370.94
1732993200,97008.28,97105.69,96925.07,97069.17,353.45
1732996800,97069.17,97099.88,96885.56,97035.12,351.71
1733000400,97035.12,97040.99,96827.03,96840.18,382.92
1733004000,96840.18,96877.92,96408.83,96523.75,545.12
1733007600,96523.75,96646.34,96379.27,96473.51,692.33
1733011200,96473.51,96718.93,96325.9,96395.85,878.15
1733014800,96395.85,96548.86,96117.92,96163.33,1186.59
1733018400,96163.33,96432.11,95752.22,95830.94,2095.08
1733022000,95830.94,96489.43,95829.82,96371.75,645.15
1733025600,96371.75,96568.63,96243.59,96553.15,296.25
1733029200,96553.15,96554.06,96345.68,96377.7,288.36
1733032800,96377.7,96538.62,96346.93,96396.1,167.36
1733036400,96396.1,96554.14,96369.7,96531.96,188
1733040000,96531.96,97226.93,96487.14,97108.6,1038.78
1733043600,97108.6,97155.63,96917.77,97084.14,220.09
1733047200,97084.14,97097.47,96625.36,96879.57,277.1
1733050800,96879.57,97211.67,96878.08,97183.52,239.16
1733054400,97183.52,97200.47,96848.71,96849.4,669.91
1733058000,96849.4,97471.99,96744.72,97146.77,977.43
1733061600,97146.77,97411.52,97047.05,97376.34,770.34
1733065200,97376.34,97394.92,97045.42,97110.48,723.87
1733068800,97110.48,97413.81,97088.08,97274.05,731.33
1733072400,97274.05,97370.96,97111.98,97369.82,446.29
1733076000,97369.82,97592.38,97156.56,97191.06,641.3
1733079600,97191.06,97370.31,97026.17,97238.26,610.05
1733083200,97238.26,97269.93,96865.17,97152.49,715.16
1733086800,97152.49,97845.54,97102.72,97836.54,800.32
1733090400,97836.54,97896.77,97431.53,97617.48,1038.95
1733094000,97617.48,97841.67,97261.72,97276.47,1475.21
1733097600,97276.47,97672.11,97151.66,97520.77,1413.61
1733101200,97520.77,98219.29,97476.33,98062.78,1806.27
1733104800,98062.78,98129.84,97530.35,97734.21,1147.67
1733108400,97734.21,97751.76,96436.9,96553.14,1364.23
1733112000,96553.14,96894.96,96159.47,96765.22,1518.06
1733115600,96765.22,96978.85,96421.63,96433.76,403.8
1733119200,96433.76,96492.14,96190.22,96338.36,489.64
1733122800,96338.36,96528.22,95823.55,96059.81,664.73
1733126400,96059.81,96164.79,94936.09,95089.6,1378.86
1733130000,95089.6,95573.41,95002.33,95529.53,894.88
1733133600,95529.53,95534.5,94845.63,94985.66,889.29
1733137200,94985.66,95337.19,94880.58,95139.21,714.87
1733140800,95139.21,95400.3,94800.45,94989.64,1631.02
1733144400,94989.64,95819.13,94849.62,95714.1,2119.26
1733148000,95714.1,96878.4,95552.06,96389.56,3551.22
1733151600,96389.56,97290.8,95806.39,97132.03,5648.2
1733155200,97132.03,97440.36,96075.5,96229.32,5150.86
1733158800,96229.32,96629.05,94419.96,94630.67,5968.73
1733162400,94630.67,95882.87,94507.43,95675.9,3910.71
1733166000,95675.9,95868.96,95180.39,95827.81,2925.75
1733169600,95827.81,96353.41,95478.41,95695.27,3342.27
1733173200,95695.27,95770.02,95363.43,95421.56,2691.81
1733176800,95421.56,95563.22,95126.36,95409.99,1348.95
1733180400,95409.99,95881.64,95358.65,95859.75,1479.52
1733184000,95859.75,96131.98,95710.84,95822.66,1903.93
1733187600,95822.66,95942.65,95460.86,95522.86,1915.08
1733191200,95522.86,96302.45,95408.57,96046.18,1533.17
1733194800,96046.18,96222.99,95923.65,96089.67,873.84
1733198400,96089.67,96238.67,95916.36,95932.73,590.43
1733202000,95932.73,96186.09,95870.06,96168.35,533.06
1733205600,96168.35,96259.29,95561.76,95661.26,896.98
1733209200,95661.26,95741.17,95294,95573.65,801.99
1733212800,95573.65,95681.03,95330.26,95550.89,623.96
1733216400,95550.89,95568.64,95183.59,95278.02,512.91
1733220000,95278.02,95497.65,94686.92,94725.45,925.51
1733223600,94725.45,95039.34,94640.58,94998.31,1158.56
1733227200,94998.31,95000.33,94688.6,94825.48,847.96
1733230800,94825.48,94865.41,93651.7,93695.23,4247.63
1733234400,93695.23,95461.5,93590.91,95260.11,6812.66
1733238000,95260.11,96304.02,95134.68,95733.58,7775.87
1733241600,95733.58,96200.01,94918.28,95160.86,4147.32
1733245200,95160.86,95951.22,94921.9,95868.2,3914.06
1733248800,95868.2,95868.28,95298.67,95502.93,3033.78
1733252400,95502.93,95522.48,94971.91,95455.74,2829.79
1733256000,95455.74,95725.26,95296.18,95662.36,2972.59
1733259600,95662.36,96173.47,95601.88,96076.6,2058.23
1733263200,96076.6,96187.76,95768.78,96180.83,864.12
1733266800,96180.83,96187.25,95889.29,95928.37,1007.75
1733270400,95928.37,96082.34,95639.96,95821.55,1138.7
1733274000,95821.55,96696.75,95569.3,96301.28,1758.65
1733277600,96301.28,96314.25,95293.6,95854.42,1743.42
1733281200,95854.42,95963.21,95651.59,95842.24,600.65
1733284800,95842.24,96073.28,95786.69,96070.63,375.7
1733288400,96070.63,96557.19,96059.48,96554.25,478.71
1733292000,96554.25,96781.57,96360.38,96604.14,554.63
1733295600,96604.14,96771.19,96480.09,96663.6,313.79
1733299200,96663.6,96884.6,96600.81,96757.39,737.83
1733302800,96757.39,97019.35,96727.01,96882.97,469.38
1733306400,96882.97,96912.51,96498.92,96577.31,409.41
1733310000,96577.31,96583.07,96242.09,96256.95,384.06
1733313600,96256.95,96341.3,95755.43,96025.99,1358.36
1733317200,96025.99,96063.42,95403.78,95709.57,2219.2
1733320800,95709.57,96626.52,95518.5,95912.08,3706.65
1733324400,95912.08,96500.83,95511.39,95859.25,4773.61
1733328000,95859.25,95930.9,94663.42,94897.97,5556.86
1733331600,94897.97,95642.27,94750.24,95614.8,3337.93
1733335200,95614.8,96342.6,95536.25,96228.85,3111.04
1733338800,96228.85,97388.63,96161.56,97379.76,3408.02
1733342400,97379.76,99226.36,97285.02,98989.27,11689.43
1733346000,98989.27,99137.53,97626.26,97871.49,5751.63
1733349600,97871.49,98748.15,97727.85,98352.2,2708.8
1733353200,98352.2,99163.28,98328.68,98751.87,2506.1
1733356800,98751.87,98980.04,98403.33,98478.67,2959.86
1733360400,98478.67,98791.95,98072.53,98331.28,3050.69
1733364000,98331.28,101659.17,98300.78,101311.69,15050.53
1733367600,101311.69,104028.51,101307.63,103063.42,7931.66
1733371200,103063.42,103648.34,102557.94,103403.9,3672.47
1733374800,103403.9,103535.65,101909.8,102567.53,2643.33
1733378400,102567.53,102768.28,101543,101958.19,1786.17
1733382000,101958.19,102812.41,101419.1,102418.05,2169.23
1733385600,102418.05,103142.22,102417.01,102968.64,2756.27
1733389200,102968.64,103304.82,102673.66,102794.61,1492.91
1733392800,102794.61,103015.6,102344.79,102363.62,1170.34
1733396400,102363.62,102761.52,102327.5,102649.78,830.45
1733400000,102649.78,103380.6,102532.36,102955.24,2621.44
1733403600,102955.24,103345.61,102787.39,102845.24,2372.05
1733407200,102845.24,103644.93,102360.28,103611.29,5463.75
1733410800,103611.29,103636.04,101043.69,101390.87,9820.19
1733414400,101390.87,102108.22,100670.79,101123.79,6291.72
1733418000,101123.79,101430.66,100601.94,101360.25,4539.51
1733421600,101360.25,101551.65,100220.08,100223.9,4742.57
1733425200,100223.9,100984.23,98660.75,99063.07,6563.11
1733428800,99063.07,99414.26,97935.56,99140.8,11002.6
1733432400,99140.8,99570.65,98905.88,99009.07,3171.33
1733436000,99009.07,99130.24,91741.97,96825.42,12566.2
1733439600,96825.42,97596.66,95568.63,97053.82,5207.39
1733443200,97053.82,97829.95,96427,97602.62,4432.5
1733446800,97602.62,98827.71,97168.44,98161.35,3316.71
1733450400,98161.35,98191.27,97529.93,97631.94,2293.99
1733454000,97631.94,97795.27,97240.63,97783.65,2111.59
1733457600,97783.65,98020.03,97421.55,97927.84,719.36
1733461200,97927.84,98321.03,97682.43,97923.78,789.87
1733464800,97923.78,98312.84,97820.67,98140.36,720.92
1733468400,98140.36,98342.66,97838.94,98213.11,633.1
1733472000,98213.11,98766.22,98103.02,98419.97,840.38
1733475600,98419.97,98515.63,98020.48,98090.52,1044.53
1733479200,98090.52,98279.54,97739.6,98225.1,975.61
1733482800,98225.1,98404.06,97897.09,98157.03,580.31
1733486400,98157.03,98486.09,97607.01,97717.86,1244.77
1733490000,97717.86,98993.53,97590.62,98693.84,3038.16
1733493600,98693.84,99598.27,98466.02,99591.28,4642.2
1733497200,99591.28,99614.62,98686.85,99434.22,4351.09
1733500800,99434.22,99646.62,98889.31,99137.05,3230.07
1733504400,99137.05,101355.25,99012,100969.51,5201.58
1733508000,100969.51,101893.55,100732.82,101511.95,5613.52
1733511600,101511.95,101966.14,101347.74,101614.11,2843.51
1733515200,101614.11,102088.57,101233.64,101553.16,3267.18
1733518800,101553.16,101637.84,100504.27,100551.02,2010.99
1733522400,100551.02,100863.88,100517.32,100662.55,837.29
1733526000,100662.55,100734.78,99241.62,99897.97,2160.44
1733529600,99897.97,100552.65,99694.93,100423.28,1526.45
1733533200,100423.28,100578.8,100016.83,100196.89,1043.79
1733536800,100196.89,100314.88,100022.09,100092.44,746.37
1733540400,100092.44,100096.45,99431.03,99447.02,880.66
1733544000,99447.02,99827.05,99206.4,99652.9,675.84
1733547600,99652.9,99787.75,99025.63,99313.17,803.78
1733551200,99313.17,99532.02,99238.66,99484.97,549.09
1733554800,99484.97,99632.3,99247.13,99544.76,345.18
1733558400,99544.76,99706.33,99416.88,99555.51,315.83
1733562000,99555.51,99959.99,99549.98,99790.58,393.22
1733565600,99790.58,99819.08,99538.92,99637.05,256.92
1733569200,99637.05,99856.61,99533.53,99737.22,206.78
1733572800,99737.22,99813.43,99479.59,99536.3,472.82
1733576400,99536.3,99631.44,99422.92,99460.98,499.65
1733580000,99460.98,99878.61,99153.48,99574.78,1054.83
