regime,vrp,instrument,premium_$/side/day,concurrent_pairs,L1_hedge_equity,L2_tail_buffer,L3_loss_buffer,total_capital_$,expected_weekly_aggregate_PnL,p05_weekly_aggregate_PnL,weeks_to_burn_30k_at_E[PnL]
calm,0.0,daily_strangle,250,1,260,11746,4889,21966,-4889,-8193,6
calm,0.0,daily_strangle,250,4,1043,23493,19558,57323,-19558,-26167,1
calm,0.0,daily_strangle,250,8,2086,33224,39116,96755,-39116,-48462,0
calm,0.0,daily_strangle,250,12,3129,40691,58674,133244,-58674,-70121,0
calm,0.0,daily_strangle,250,25,6519,58733,122239,243739,-122239,-138761,0
calm,0.0,daily_strangle,250,50,13038,83061,244479,442753,-244479,-267844,0
calm,0.0,daily_strangle,250,100,26077,117466,488958,822253,-488958,-522001,0
calm,0.0,daily_strangle,250,250,65194,185730,1222395,1915317,-1222395,-1274641,0
calm,0.0,daily_strangle,250,500,130389,262662,2444790,3689196,-2444790,-2518678,0
calm,0.0,daily_strangle,250,1000,260779,371461,4889581,7178369,-4889581,-4994074,0
calm,0.0,daily_strangle,400,1,260,8993,2729,15578,-2729,-6116,10
calm,0.0,daily_strangle,400,4,1043,17986,10916,38930,-10916,-17690,2
calm,0.0,daily_strangle,400,8,2086,25437,21833,64164,-21833,-31413,1
calm,0.0,daily_strangle,400,12,3129,31153,32750,87144,-32750,-44483,0
calm,0.0,daily_strangle,400,25,6519,44966,68231,155632,-68231,-85165,0
calm,0.0,daily_strangle,400,50,13038,63592,136462,277022,-136462,-160411,0
calm,0.0,daily_strangle,400,100,26077,89933,272924,505617,-272924,-306793,0
calm,0.0,daily_strangle,400,250,65194,142197,682311,1156615,-682311,-735863,0
calm,0.0,daily_strangle,400,500,130389,201097,1364623,2204944,-1364623,-1440357,0
calm,0.0,daily_strangle,400,1000,260779,284394,2729247,4256748,-2729247,-2836350,0
calm,0.0,daily_strangle,600,1,260,4757,0,6524,36,-3256,
calm,0.0,daily_strangle,600,4,1043,9515,0,13726,145,-6440,
calm,0.0,daily_strangle,600,8,2086,13457,0,20206,291,-9022,
calm,0.0,daily_strangle,600,12,3129,16481,0,25494,437,-10969,
calm,0.0,daily_strangle,600,25,6519,23789,0,39401,910,-15553,
calm,0.0,daily_strangle,600,50,13038,33643,0,60687,1821,-21462,
calm,0.0,daily_strangle,600,100,26077,47578,0,95753,3643,-29285,
calm,0.0,daily_strangle,600,250,65194,75228,0,182550,9109,-42956,
calm,0.0,daily_strangle,600,500,130389,106389,0,307813,18219,-55413,
calm,0.0,daily_strangle,600,1000,260779,150457,0,534608,36438,-67693,
calm,0.0,daily_strangle,800,1,260,835,0,1425,2807,-476,
calm,0.0,daily_strangle,800,4,1043,1671,0,3529,11230,4662,
calm,0.0,daily_strangle,800,8,2086,2363,0,5785,22461,13172,
calm,0.0,daily_strangle,800,12,3129,2895,0,7831,33691,22315,
calm,0.0,daily_strangle,800,25,6519,4178,0,13907,70190,53770,
calm,0.0,daily_strangle,800,50,13038,5909,0,24633,140381,117159,
calm,0.0,daily_strangle,800,100,26077,8357,0,44766,280762,247922,
calm,0.0,daily_strangle,800,250,65194,13214,0,101932,701906,649981,
calm,0.0,daily_strangle,800,500,130389,18688,0,193802,1403813,1330380,
calm,0.0,daily_strangle,800,1000,260779,26429,0,373372,2807626,2703776,
calm,0.0,daily_strangle,1000,1,260,0,0,339,5635,2360,
calm,0.0,daily_strangle,1000,4,1043,0,0,1356,22543,15993,
calm,0.0,daily_strangle,1000,8,2086,0,0,2712,45087,35824,
calm,0.0,daily_strangle,1000,12,3129,0,0,4068,67631,56286,
calm,0.0,daily_strangle,1000,25,6519,0,0,8475,140899,124523,
calm,0.0,daily_strangle,1000,50,13038,0,0,16950,281799,258640,
calm,0.0,daily_strangle,1000,100,26077,0,0,33901,563598,530847,
calm,0.0,daily_strangle,1000,250,65194,0,0,84753,1408996,1357212,
calm,0.0,daily_strangle,1000,500,130389,0,0,169506,2817993,2744758,
calm,0.0,daily_strangle,1000,1000,260779,0,0,339013,5635986,5532417,
calm,0.0,daily_strangle,1500,1,260,0,0,339,12582,9231,
calm,0.0,daily_strangle,1500,4,1043,0,0,1356,50330,43629,
calm,0.0,daily_strangle,1500,8,2086,0,0,2712,100660,91183,
calm,0.0,daily_strangle,1500,12,3129,0,0,4068,150990,139384,
calm,0.0,daily_strangle,1500,25,6519,0,0,8475,314564,297811,
calm,0.0,daily_strangle,1500,50,13038,0,0,16950,629128,605436,
calm,0.0,daily_strangle,1500,100,26077,0,0,33901,1258257,1224750,
calm,0.0,daily_strangle,1500,250,65194,0,0,84753,3145642,3092664,
calm,0.0,daily_strangle,1500,500,130389,0,0,169506,6291285,6216363,
calm,0.0,daily_strangle,1500,1000,260779,0,0,339013,12582570,12476614,
calm,0.0,perp_delta_only,250,1,0,12101,4942,22157,-4942,-8771,6
calm,0.0,perp_delta_only,250,4,0,24203,19768,57163,-19768,-27427,1
calm,0.0,perp_delta_only,250,8,0,34229,39536,95894,-39536,-50367,0
calm,0.0,perp_delta_only,250,12,0,41922,59304,131593,-59304,-72570,0
calm,0.0,perp_delta_only,250,25,0,60509,123550,239277,-123550,-142697,0
calm,0.0,perp_delta_only,250,50,0,85573,247100,432475,-247100,-274179,0
calm,0.0,perp_delta_only,250,100,0,121018,494200,799784,-494200,-532495,0
calm,0.0,perp_delta_only,250,250,0,191347,1235500,1854901,-1235500,-1296050,0
calm,0.0,perp_delta_only,250,500,0,270606,2471000,3564088,-2471000,-2556631,0
calm,0.0,perp_delta_only,250,1000,0,382695,4942000,6922103,-4942000,-5063101,0
calm,0.0,perp_delta_only,400,1,0,9136,2812,15532,-2812,-6733,10
calm,0.0,perp_delta_only,400,4,0,18272,11248,38377,-11248,-19091,2
calm,0.0,perp_delta_only,400,8,0,25841,22496,62839,-22496,-33588,1
calm,0.0,perp_delta_only,400,12,0,31649,33744,85011,-33744,-47329,0
calm,0.0,perp_delta_only,400,25,0,45682,70300,150776,-70300,-89908,0
calm,0.0,perp_delta_only,400,50,0,64604,140600,266765,-140600,-168331,0
calm,0.0,perp_delta_only,400,100,0,91364,281200,484333,-281200,-320417,0
calm,0.0,perp_delta_only,400,250,0,144459,703000,1101697,-703000,-765008,0
calm,0.0,perp_delta_only,400,500,0,204296,1406000,2093385,-1406000,-1493693,0
calm,0.0,perp_delta_only,400,1000,0,288919,2812000,4031194,-2812000,-2936017,0
calm,0.0,perp_delta_only,600,1,0,5182,27,6772,-27,-3884,1111
calm,0.0,perp_delta_only,600,4,0,10364,108,13614,-108,-7823,277
calm,0.0,perp_delta_only,600,8,0,14658,216,19336,-216,-11127,138
calm,0.0,perp_delta_only,600,12,0,17952,324,23759,-324,-13687,92
calm,0.0,perp_delta_only,600,25,0,25912,675,34563,-675,-19963,44
calm,0.0,perp_delta_only,600,50,0,36645,1350,49394,-1350,-28628,22
calm,0.0,perp_delta_only,600,100,0,51824,2700,70882,-2700,-41277,11
calm,0.0,perp_delta_only,600,250,0,81942,6750,115299,-6750,-67745,4
calm,0.0,perp_delta_only,600,500,0,115883,13500,168199,-13500,-99761,2
calm,0.0,perp_delta_only,600,1000,0,163884,27000,248149,-27000,-148991,1
calm,0.0,perp_delta_only,800,1,0,1228,0,1597,2725,-1163,
calm,0.0,perp_delta_only,800,4,0,2457,0,3194,10901,3124,
calm,0.0,perp_delta_only,800,8,0,3474,0,4517,21802,10804,
calm,0.0,perp_delta_only,800,12,0,4255,0,5532,32704,19233,
