regime,DVOL,vrp,premium_per_side_per_day,instrument,E[triggers/7d],E[premium/pair-life],E[payouts/pair-life],E[upfront_hedge],E[PnL/pair-life],p05_PnL/pair-life,p95_PnL/pair-life,P[PnL>0]_estimate
elev,65,0.0,600,perp_delta_only,18.0,8400,18047,0,-9717,-14670,-4670,0.00
stress,80,0.0,600,straddle_30d,27.2,8400,27215,8192,-19991,-26914,-13471,0.00
stress,80,0.0,600,strangle_7d,27.2,8400,27206,3506,-18836,-25416,-12306,0.00
stress,80,0.0,600,daily_strangle,27.3,8400,27252,862,-18887,-25243,-12685,0.00
stress,80,0.0,600,perp_delta_only,27.2,8400,27153,0,-18823,-25670,-12670,0.00
calm,45,0.0,800,straddle_30d,8.4,11200,8380,4222,2620,-1288,6435,0.87
calm,45,0.0,800,strangle_7d,8.4,11200,8373,1621,2824,-1080,6416,0.89
calm,45,0.0,800,daily_strangle,8.4,11200,8382,261,2808,-592,5901,0.92
calm,45,0.0,800,perp_delta_only,8.4,11200,8405,0,2725,-870,6130,0.88
mod,55,0.0,800,straddle_30d,12.8,11200,12834,5354,-2017,-6557,2490,0.23
mod,55,0.0,800,strangle_7d,12.8,11200,12832,2152,-1661,-6496,2905,0.28
mod,55,0.0,800,daily_strangle,12.8,11200,12836,417,-1664,-5999,2311,0.26
mod,55,0.0,800,perp_delta_only,12.8,11200,12838,0,-1708,-5920,3130,0.27
elev,65,0.0,800,straddle_30d,18.2,11200,18204,6489,-7637,-13279,-2363,0.01
elev,65,0.0,800,strangle_7d,18.2,11200,18163,2691,-6997,-12551,-1723,0.02
elev,65,0.0,800,daily_strangle,18.2,11200,18211,588,-7044,-12105,-2335,0.01
elev,65,0.0,800,perp_delta_only,18.1,11200,18090,0,-6960,-12870,-1870,0.02
stress,80,0.0,800,straddle_30d,27.2,11200,27158,8192,-17143,-23813,-10752,0.00
stress,80,0.0,800,strangle_7d,27.3,11200,27262,3506,-16097,-22496,-9697,0.00
stress,80,0.0,800,daily_strangle,27.1,11200,27131,862,-15988,-22286,-10013,0.00
stress,80,0.0,800,perp_delta_only,27.2,11200,27240,0,-16110,-22870,-9870,0.00
calm,45,0.0,1000,straddle_30d,8.3,14000,8325,4222,5470,1542,9343,0.99
calm,45,0.0,1000,strangle_7d,8.3,14000,8313,1621,5670,1791,9367,0.99
calm,45,0.0,1000,daily_strangle,8.3,14000,8350,261,5636,2313,8778,1.00
calm,45,0.0,1000,perp_delta_only,8.3,14000,8341,0,5589,1930,8930,0.99
mod,55,0.0,1000,straddle_30d,12.8,14000,12783,5354,832,-3981,5415,0.61
mod,55,0.0,1000,strangle_7d,12.8,14000,12812,2152,1164,-3621,5585,0.66
mod,55,0.0,1000,daily_strangle,12.8,14000,12795,417,1162,-3262,5296,0.67
mod,55,0.0,1000,perp_delta_only,12.8,14000,12829,0,1101,-4070,5930,0.65
elev,65,0.0,1000,straddle_30d,18.1,14000,18061,6489,-4683,-10330,873,0.08
elev,65,0.0,1000,strangle_7d,18.1,14000,18128,2691,-4154,-9812,1299,0.11
elev,65,0.0,1000,daily_strangle,18.1,14000,18091,588,-4116,-9246,881,0.09
elev,65,0.0,1000,perp_delta_only,18.1,14000,18100,0,-4170,-10070,930,0.11
stress,80,0.0,1000,straddle_30d,27.2,14000,27244,8192,-14413,-20856,-7793,0.00
stress,80,0.0,1000,strangle_7d,27.2,14000,27223,3506,-13257,-19718,-6690,0.00
stress,80,0.0,1000,daily_strangle,27.2,14000,27179,862,-13244,-19637,-7201,0.00
stress,80,0.0,1000,perp_delta_only,27.1,14000,27139,0,-13209,-20070,-7070,0.00
calm,45,0.0,1500,straddle_30d,8.4,21000,8362,4222,12426,8458,15986,1.00
calm,45,0.0,1500,strangle_7d,8.4,21000,8385,1621,12598,8657,16270,1.00
calm,45,0.0,1500,daily_strangle,8.4,21000,8402,261,12583,9078,15713,1.00
calm,45,0.0,1500,perp_delta_only,8.4,21000,8371,0,12559,8930,15930,1.00
mod,55,0.0,1500,straddle_30d,12.8,21000,12814,5354,7797,2901,12450,1.00
mod,55,0.0,1500,strangle_7d,12.8,21000,12781,2152,8207,3274,12898,1.00
mod,55,0.0,1500,daily_strangle,12.8,21000,12813,417,8140,3625,12277,1.00
mod,55,0.0,1500,perp_delta_only,12.9,21000,12851,0,8079,2930,12930,1.00
elev,65,0.0,1500,straddle_30d,18.1,21000,18090,6489,2280,-3176,7604,0.76
elev,65,0.0,1500,strangle_7d,18.1,21000,18123,2691,2846,-2679,8249,0.81
elev,65,0.0,1500,daily_strangle,18.1,21000,18091,588,2874,-2309,7805,0.83
elev,65,0.0,1500,perp_delta_only,18.1,21000,18095,0,2835,-3070,7930,0.80
stress,80,0.0,1500,straddle_30d,27.2,21000,27195,8192,-7364,-14219,-709,0.03
stress,80,0.0,1500,strangle_7d,27.2,21000,27219,3506,-6250,-12758,176,0.06
stress,80,0.0,1500,daily_strangle,27.2,21000,27157,862,-6223,-12342,-139,0.05
stress,80,0.0,1500,perp_delta_only,27.1,21000,27141,0,-6211,-13070,-70,0.06
calm,45,0.0,2000,straddle_30d,8.3,28000,8315,4222,19476,15498,23254,1.00
calm,45,0.0,2000,strangle_7d,8.3,28000,8307,1621,19676,15576,23361,1.00
calm,45,0.0,2000,daily_strangle,8.3,28000,8289,261,19682,16190,22972,1.00
calm,45,0.0,2000,perp_delta_only,8.3,28000,8317,0,19613,15930,23930,1.00
mod,55,0.0,2000,straddle_30d,12.8,28000,12794,5354,14812,10158,19322,1.00
mod,55,0.0,2000,strangle_7d,12.8,28000,12807,2152,15178,10345,19777,1.00
mod,55,0.0,2000,daily_strangle,12.8,28000,12796,417,15176,10900,19212,1.00
mod,55,0.0,2000,perp_delta_only,12.9,28000,12851,0,15079,9930,19930,1.00
elev,65,0.0,2000,straddle_30d,18.0,28000,17995,6489,9372,3895,14698,1.00
elev,65,0.0,2000,strangle_7d,18.1,28000,18062,2691,9915,4338,15313,1.00
elev,65,0.0,2000,daily_strangle,18.0,28000,18022,588,9937,4763,14737,1.00
elev,65,0.0,2000,perp_delta_only,18.1,28000,18057,0,9873,3930,14930,1.00
stress,80,0.0,2000,straddle_30d,27.2,28000,27242,8192,-421,-7167,6202,0.46
stress,80,0.0,2000,strangle_7d,27.3,28000,27253,3506,692,-6000,7214,0.57
stress,80,0.0,2000,daily_strangle,27.2,28000,27200,862,733,-5597,6718,0.58
stress,80,0.0,2000,perp_delta_only,27.2,28000,27207,0,723,-6070,6930,0.57
calm,45,0.2,250,straddle_30d,5.0,3500,5030,4222,-1885,-5063,975,0.15
