n_pairs,l1_hedge_equity,l2_stress_reserve,l3_carry_buffer,total_capital_with_headroom,foxify_prefund_recommendation,lp_capital_needed,expected_weekly_pnl,expected_annual_pnl,sustainable_lp_apr_pct,weeks_to_recover_one_stress_week,instrument,schedule,blended_e_pnl_per_pair_life,blended_p_pnl_pos,blended_e_triggers
4.3,92880.0,70736.44135332771,0.0,212701.37375932603,41869.530108666746,170831.84365065928,26290.929353810123,1367128.3263981263,400.1386091675685,2.6905264702282756,straddle_30d,tiered_400_600_900,6114.169617165145,0.9920583829892518,7.038243442591392
8,172800.0,78284.2712474619,0.0,326409.5526217005,77896.80020217069,248512.75241952983,48913.35693732116,2543494.5607407,511.7432678961418,1.600468177798089,straddle_30d,tiered_400_600_900,6114.169617165145,0.9920583829892518,7.038243442591392
12.9,278640.0,85916.56999213595,0.0,473923.5409897768,125608.59032600025,348314.95066377654,78872.78806143037,4101384.9791943794,588.7466173040312,1.0893056034131758,straddle_30d,tiered_400_600_900,6114.169617165145,0.9920583829892518,7.038243442591392
25,540000.0,100000.0,0.0,832000.0,243427.50063178342,588572.4993682166,152854.2404291286,7948420.502314688,675.2286685876976,0.6542180296683712,straddle_30d,tiered_400_600_900,6114.169617165145,0.9920583829892518,7.038243442591392
50,1080000.0,120710.67811865476,0.0,1560923.8815542513,486855.00126356684,1074068.8802906845,305708.4808582572,15896841.004629375,740.0289355896373,0.3948555099935964,straddle_30d,tiered_400_600_900,6114.169617165145,0.9920583829892518,7.038243442591392
100,2160000.0,150000.0,0.0,3003000.0,973710.0025271337,2029289.9974728664,611416.9617165144,31793682.00925875,783.3696033798112,0.2453317611256392,straddle_30d,tiered_400_600_900,6114.169617165145,0.9920583829892518,7.038243442591392
250,5400000.0,208113.88300841895,0.0,7290548.047910945,2434275.0063178344,4856273.04159311,1528542.4042912861,79484205.02314688,818.3663103616589,0.13615185448840175,straddle_30d,tiered_400_600_900,6114.169617165145,0.9920583829892518,7.038243442591392
500,10800000.0,273606.79774997896,0.0,14395688.837074975,4868550.012635669,9527138.824439306,3057084.8085825723,158968410.04629377,834.2925036344761,0.08949925006393188,straddle_30d,tiered_400_600_900,6114.169617165145,0.9920583829892518,7.038243442591392
1000,21600000.0,366227.7660168379,0.0,28556096.09582189,9737100.025271337,18818996.070550554,6114169.6171651445,317936820.09258753,844.7231162084147,0.05989820187334624,straddle_30d,tiered_400_600_900,6114.169617165145,0.9920583829892518,7.038243442591392
1,840.0,60000.0,0.0,79092.0,9737.100025271337,69354.89997472866,5609.367166527513,291687.0926594307,210.28585778778054,10.696393767559895,pooled_daily_strangle,tiered_400_600_900,5609.367166527513,1.0,7.038243442591392
4.3,3612.0,70736.44135332771,0.0,96652.97375932602,41869.530108666746,54783.443650659276,24120.278816068305,1254254.4984355518,1144.738642603072,2.932654381515894,pooled_daily_strangle,tiered_400_600_900,5609.367166527513,1.0,7.038243442591392
8,6720.0,78284.2712474619,0.0,110505.55262170048,77896.80020217069,32608.75241952979,44874.937332220106,2333496.7412754456,3578.0221077668175,1.7444987313944162,pooled_daily_strangle,tiered_400_600_900,5609.367166527513,1.0,7.038243442591392
12.9,10836.0,85916.56999213595,0.0,125778.34098977674,125608.59032600025,169.7506637764891,72360.83644820492,3762763.4953066558,1108320.7015499778,1.18733522454006,pooled_daily_strangle,tiered_400_600_900,5609.367166527513,1.0,7.038243442591392
25,21000.0,100000.0,0.0,157300.0,243427.50063178342,0.0,140234.17916318783,7292177.316485767,inf,0.7130929178373263,pooled_daily_strangle,tiered_400_600_900,5609.367166527513,1.0,7.038243442591392
50,42000.0,120710.67811865476,0.0,211523.8815542512,486855.00126356684,0.0,280468.35832637566,14584354.632971535,inf,0.43038964836876914,pooled_daily_strangle,tiered_400_600_900,5609.367166527513,1.0,7.038243442591392
100,84000.0,150000.0,0.0,304200.0,973710.0025271337,0.0,560936.7166527513,29168709.26594307,inf,0.2674098441889974,pooled_daily_strangle,tiered_400_600_900,5609.367166527513,1.0,7.038243442591392
250,210000.0,208113.88300841895,0.0,543548.0479109447,2434275.0063178344,0.0,1402341.7916318784,72921773.16485767,inf,0.14840453607692944,pooled_daily_strangle,tiered_400_600_900,5609.367166527513,1.0,7.038243442591392
500,420000.0,273606.79774997896,0.0,901688.8370749727,4868550.012635669,0.0,2804683.5832637567,145843546.32971534,inf,0.09755353487382985,pooled_daily_strangle,tiered_400_600_900,5609.367166527513,1.0,7.038243442591392
1000,840000.0,366227.7660168379,0.0,1568096.0958218894,9737100.025271337,0.0,5609367.166527513,291687092.6594307,inf,0.06528860656549813,pooled_daily_strangle,tiered_400_600_900,5609.367166527513,1.0,7.038243442591392
